obsid,obi,date
62219,0,'Dec  4 2009  8:27PM'
62549,0,'Aug 18 1999  2:50AM'
837,0,'Jul 14 2007  5:35AM'
123,0,'Dec 17 2010  3:58PM'
1523,0,'Sep 15 2007  5:23AM'
62184,0,'Jul 14 2007  5:59AM'
58596,0,'Jan  6 2007 11:11AM'
1226,0,'Dec 14 2009  2:35AM'
891,0,'May 11 2007  8:41AM'
514,0,'Sep 15 2007  7:47AM'
55572,0,'Mar 20 2011  1:21PM'
949,0,'Sep 15 2007  7:44AM'
58680,0,'Nov 26 2006  1:52PM'
9716,0,'Feb 10 2009 11:55AM'
62151,0,'Sep 15 2007  5:25AM'
341,0,'Nov 25 2009  2:42AM'
549,1,'Nov 20 2009  5:22AM'
59748,0,'Feb 27 2006 12:22AM'
1379,0,'Nov 18 2009 10:11PM'
62202,0,'Dec  5 2009  4:40AM'
20,0,'May 11 2007  6:32PM'
850,0,'Nov 25 2009  5:13AM'
57866,0,'Apr 11 2008  8:57AM'
760,0,'May 11 2007  6:34PM'
872,0,'May 10 2007  5:35AM'
1439,0,'Nov 24 2009  7:11AM'
1192,0,'Jan 13 2010  1:06AM'
62297,0,'Nov 24 2009  9:25AM'
62198,0,'Dec  4 2009  7:14PM'
1346,0,'Nov 18 2009 10:02PM'
62390,0,'Jan 13 2010  3:57AM'
62279,0,'Nov 25 2009  4:54AM'
56820,0,'Sep 19 2009  3:56PM'
57126,0,'May  5 2009  3:59PM'
62075,0,'May 11 2007  1:32PM'
55465,0,'May  1 2011  6:16PM'
62,2,'May 10 2007  5:37AM'
60654,0,'Jul 14 2006  1:23AM'
62439,0,'Jan 12 2010  8:24PM'
62340,0,'Nov 20 2009  7:44AM'
507,1,'May 17 2007 11:07PM'
62316,0,'Nov 21 2009  6:32AM'
56516,0,'Jan 16 2010 11:19AM'
56210,1,'Jun  5 2010  2:32PM'
963,1,'Sep  6 2007  3:15PM'
62126,0,'May  8 2007 10:20AM'
62255,0,'Nov 26 2009  2:59AM'
1395,0,'Nov 20 2009 10:30AM'
673,0,'May  8 2007  4:42AM'
512,0,'May 11 2007  1:15PM'
62066,0,'May 18 2007  1:16AM'
1093,0,'Dec 17 2009 12:29AM'
1360,0,'Nov 18 2009 10:05PM'
342,0,'Jul 14 2007  6:06AM'
1167,1,'Jan 13 2010  4:19AM'
1715,0,'May 23 2007  6:16AM'
1519,0,'Dec  5 2009  4:07AM'
56323,1,'Apr 18 2010  6:30PM'
62145,0,'Sep 15 2007  8:06AM'
62357,0,'Nov 19 2009  5:25AM'
62426,0,'Jan 13 2010  6:49AM'
62130,0,'May  8 2007  4:49AM'
58489,0,'Mar 12 2007  1:05PM'
55335,0,'Jun 21 2011  1:13AM'
4462,0,'Feb  4 2009 10:44PM'
1080,0,'Dec 16 2009  2:19AM'
1236,1,'Dec 17 2009  5:56AM'
61077,1,'Feb  4 2009 11:41PM'
56899,1,'Aug 10 2009  2:27PM'
218,0,'Dec 17 2009  3:44AM'
62216,0,'Dec  4 2009  9:01PM'
544,0,'May 10 2007  5:31AM'
56727,0,'Oct 26 2009  6:52AM'
1291,0,'Jan 12 2010 12:05PM'
58493,0,'Mar 11 2007  5:49PM'
4456,0,'Feb  4 2009  6:16PM'
165,0,'Dec 16 2009  2:51AM'
62071,0,'May 17 2007 11:05PM'
62832,0,'Feb 18 2006  2:56AM'
58081,0,'Dec 11 2007  4:10PM'
1264,0,'Dec 13 2009 11:49PM'
62252,0,'Nov 29 2009  2:26PM'
1320,0,'Sep 28 2010 10:29AM'
330,0,'Nov 25 2009 11:57PM'
62223,0,'Dec  2 2009  9:32AM'
1237,1,'Dec 17 2009  5:58AM'
56758,0,'Oct 11 2009 12:12AM'
271,0,'May  8 2007  4:29AM'
80,0,'Nov 25 2009  2:42AM'
60426,0,'Feb  4 2009  9:25AM'
1322,0,'Sep 28 2010 10:31AM'
60767,1,'Aug  1 2006  1:56AM'
857,0,'May 11 2007 11:52AM'
958,0,'Sep 14 2007  8:08PM'
56774,0,'Oct  8 2009 12:08AM'
101,1,'Nov 20 2009  5:23AM'
348,0,'May  8 2007  4:25AM'
1110,0,'Jan 13 2010  2:39AM'
62064,0,'May 18 2007  1:49AM'
2488,1,'Feb  9 2009  4:39PM'
56873,0,'Aug 24 2009 12:57PM'
822,0,'May 10 2007  5:33AM'
787,0,'Dec  2 2009  2:44AM'
1057,0,'Dec 14 2009  1:43AM'
62210,0,'Dec  4 2009 11:47PM'
1156,1,'Dec  2 2009 11:06AM'
62381,0,'Sep 28 2010  3:26AM'
62193,0,'Jul 14 2007  1:19AM'
56950,0,'Jul 17 2009  1:40PM'
62394,0,'Jan 12 2010  6:32PM'
1506,0,'Nov 25 2009  5:13AM'
62308,0,'Nov 24 2009  5:18AM'
58077,0,'Dec 11 2007  4:15PM'
62438,0,'Jan 12 2010  8:24PM'
62410,0,'Jan 13 2010  4:27AM'
62311,0,'Nov 21 2009  7:03AM'
62136,0,'May  8 2007  3:29AM'
768,0,'May  8 2007  4:26AM'
765,0,'Nov 26 2009 12:13AM'
783,0,'Nov 29 2009  4:33PM'
56778,0,'Oct  8 2009 12:04AM'
467,0,'Dec 17 2009 12:30AM'
62274,0,'Nov 25 2009 11:56PM'
1425,0,'Nov 20 2009  8:03AM'
62310,0,'Nov 24 2009  5:13AM'
55,0,'Nov 21 2009  6:38AM'
1392,0,'Nov 20 2009 10:28AM'
62291,0,'Nov 25 2009  2:44AM'
1069,0,'Dec 15 2009 11:16PM'
1501,0,'Nov 25 2009  5:11AM'
1326,0,'Sep 28 2010 10:35AM'
423,0,'May 18 2007 12:39AM'
1349,0,'Nov 18 2009 10:02PM'
62175,1,'Jul 14 2007 11:25AM'
864,0,'Dec  5 2009  5:50AM'
61290,0,'Sep  2 2006 12:47PM'
1235,1,'Dec 17 2009  5:49AM'
62359,0,'Nov 19 2009  5:00AM'
1209,0,'Feb  1 2010  8:40PM'
1329,0,'Sep 28 2010 11:37AM'
1108,0,'Jan 13 2010  2:06AM'
427,1,'Dec  4 2009 10:49PM'
56325,1,'Apr 18 2010  6:29PM'
62852,0,'Sep  8 2006 12:17AM'
351,0,'Aug 27 2007  6:54PM'
55866,0,'Nov 18 2010 10:42PM'
62329,0,'Nov 21 2009  3:48AM'
82,2,'Dec 31 2000  1:06AM'
1211,0,'Jan 12 2010  1:31PM'
1366,0,'Nov 18 2009 10:07PM'
959,0,'May 11 2007 12:36PM'
55830,0,'Dec  2 2010  3:08AM'
62227,0,'Dec  2 2009  6:22AM'
509,1,'Nov 21 2009  3:52AM'
900,1,'May 23 2007 10:44AM'
58224,0,'Sep 10 2007 10:31AM'
347,0,'Nov 25 2009  2:59AM'
815,0,'Nov 29 2009  4:33PM'
57137,0,'Apr 29 2009  4:06PM'
1266,0,'Dec 14 2009  1:49AM'
62395,0,'Jan 12 2010 12:13PM'
62810,0,'Nov  6 2009  5:18PM'
1450,0,'Nov 15 2010  1:32PM'
1331,0,'Sep 28 2010 12:17PM'
52,0,'Nov  9 2010  3:15PM'
1385,0,'Jan 19 2010  2:41PM'
